Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
11;11;14/11/2023;@;PHI;W;132;126;122.4;116.9;107.8;.355;.398;.614;51.9;66.7;6.5;7.8;;.586;9.3;23.3;.247;;.535;13.6;86.1;.395;IND
12;12;19/11/2023;;ORL;L;116;128;106.3;117.3;109.1;.326;.326;.534;48.8;57.1;9.2;10.4;;.484;12.8;24.4;.253;;.534;12.5;78.4;.402;IND
13;13;21/11/2023;@;ATL;W;157;152;144.8;140.2;108.4;.298;.479;.738;42.6;61.4;6.5;17.2;;.723;10.9;20.6;.223;;.679;12.3;64.7;.242;IND
14;14;22/11/2023;;TOR;L;131;132;125.0;125.9;104.8;.176;.429;.668;40.3;66.0;9.5;9.5;;.648;12.5;13.2;.143;;.594;14.1;66.7;.278;IND
15;15;24/11/2023;;DET;W;136;113;138.9;115.4;97.9;.235;.373;.604;48.2;49.0;7.1;11.1;;.559;6.6;34.1;.216;;.517;12.2;64.1;.222;IND
1;1;25/10/2023;@;BRK;W;114;113;116.9;115.9;97.5;.106;.457;.579;43.2;56.8;10.3;10.5;;.559;9.2;19.6;.096;;.554;15.1;69.0;.238;CLE
2;2;27/10/2023;;OKC;L;105;108;99.6;102.5;105.4;.250;.489;.514;50.5;52.6;9.5;13.1;;.478;11.3;16.3;.185;;.534;15.9;87.0;.172;CLE
3;3;28/10/2023;;IND;L;113;125;116.8;129.3;96.7;.242;.313;.516;51.5;67.4;2.1;10.0;;.495;5.2;32.7;.152;;.566;6.2;75.0;.143;CLE
4;4;31/10/2023;;NYK;L;91;109;95.3;114.1;95.5;.130;.413;.468;48.9;52.8;6.3;11.5;;.446;13.4;28.0;.098;;.517;12.6;72.7;.233;CLE
5;5;01/11/2023;@;NYK;W;95;89;99.0;92.7;96.0;.270;.432;.574;47.9;68.8;7.3;8.1;;.514;17.9;15.0;.257;;.375;11.0;71.4;.217;CLE
6;6;03/11/2023;@;IND;L;116;121;112.3;117.1;103.3;.298;.333;.611;46.7;61.4;9.7;16.4;;.571;12.0;13.2;.238;;.610;15.7;81.1;.186;CLE
7;7;05/11/2023;;GSW;W;115;104;116.3;105.2;98.9;.337;.446;.603;55.1;63.4;8.1;3.8;;.560;15.9;32.5;.265;;.447;10.8;70.7;.213;CLE
8;8;08/11/2023;@;OKC;L;120;128;118.3;126.2;101.4;.446;.349;.604;50.0;61.9;8.9;8.6;;.560;15.3;27.5;.325;;.581;12.4;71.4;.326;CLE
9;9;11/11/2023;@;GSW;W;118;110;114.3;106.5;103.3;.500;.349;.562;45.0;62.2;12.6;5.8;;.494;8.7;21.6;.384;;.483;16.2;69.4;.256;CLE
10;10;13/11/2023;@;SAC;L;120;132;129.2;142.1;92.9;.187;.385;.609;51.3;53.3;3.2;2.4;;.582;10.0;32.6;.154;;.711;9.7;75.8;.169;CLE
11;11;15/11/2023;@;POR;W;109;95;114.1;99.4;95.6;.280;.400;.647;61.0;54.8;5.2;17.0;;.620;16.8;24.1;.213;;.445;10.9;83.3;.154;CLE
12;12;17/11/2023;;DET;W;108;100;114.4;105.9;94.4;.256;.256;.592;43.3;50.0;9.5;10.7;;.567;11.6;17.5;.183;;.478;14.8;64.0;.143;CLE
13;13;19/11/2023;;DEN;W;121;109;130.1;117.2;93.0;.317;.329;.647;58.8;66.7;6.5;9.4;;.616;12.2;31.4;.244;;.561;10.7;80.0;.207;CLE
14;14;21/11/2023;@;PHI;W;122;119;115.5;112.6;95.7;.266;.266;.581;56.0;71.7;8.5;6.6;;.537;12.5;31.8;.223;;.474;11.2;75.0;.292;CLE
15;15;22/11/2023;;MIA;L;96;129;102.3;137.4;93.9;.182;.390;.577;45.3;69.4;5.3;11.3;;.558;18.6;18.4;.130;;.636;9.3;73.0;.193;CLE
16;16;25/11/2023;;LAL;L;115;121;108.8;114.5;105.7;.253;.308;.569;45.7;69.8;12.3;6.3;;.522;12.2;16.7;.220;;.572;15.4;76.9;.200;CLE
1;1;25/10/2023;;OKC;L;104;124;105.8;126.2;98.3;.191;.447;.510;49.4;66.7;10.2;7.0;;.479;10.5;25.5;.149;;.665;14.3;85.3;.183;CHI
2;2;27/10/2023;;TOR;W;104;103;96.3;95.3;97.8;.283;.394;.467;49.5;48.6;9.3;10.4;;.414;12.6;25.0;.222;;.518;18.1;82.2;.190;CHI
3;3;28/10/2023;@;DET;L;102;118;111.6;129.1;91.4;.172;.301;.510;38.4;41.0;10.9;8.6;;.478;7.4;25.5;.140;;.593;13.7;57.1;.186;CHI
4;4;30/10/2023;@;IND;W;112;105;110.4;103.5;101.4;.356;.195;.556;48.4;47.5;7.9;14.3;;.494;11.4;21.7;.299;;.477;14.7;75.6;.239;CHI
5;5;01/11/2023;@;DAL;L;105;114;114.1;123.9;92.0;.124;.371;.559;48.9;45.2;10.9;9.1;;.534;12.2;27.3;.112;;.580;12.2;70.5;.247;CHI
6;6;03/11/2023;;BRK;L;107;109;113.4;115.5;94.3;.157;.315;.562;51.9;48.8;4.2;7.8;;.545;9.5;22.5;.112;;.552;7.5;80.5;.031;CHI
7;7;04/11/2023;@;DEN;L;101;123;106.4;129.6;94.9;.267;.302;.525;43.0;71.8;7.4;6.7;;.494;10.3;18.8;.186;;.617;10.5;73.7;.284;CHI
8;8;06/11/2023;;UTA;W;130;113;134.3;116.7;96.8;.204;.366;.641;40.9;54.2;12.4;7.0;;.613;7.3;22.2;.172;;.570;19.1;60.5;.174;CHI
9;9;08/11/2023;;PHO;L;115;116;108.0;108.9;96.4;.240;.344;.542;41.9;71.4;11.3;16.7;;.510;11.7;18.0;.177;;.528;17.2;69.8;.233;CHI
10;10;12/11/2023;;DET;W;119;108;125.4;113.8;94.9;.275;.330;.583;44.9;50.0;12.6;10.7;;.544;5.6;25.0;.220;;.494;13.9;64.4;.239;CHI
11;11;13/11/2023;@;MIL;L;109;118;112.9;122.3;96.5;.210;.420;.499;47.0;63.2;9.3;16.7;;.450;5.2;31.0;.190;;.556;12.9;69.0;.213;CHI
12;12;15/11/2023;;ORL;L;94;96;99.2;101.3;94.8;.265;.398;.507;53.5;48.5;7.4;7.4;;.452;17.0;29.2;.229;;.439;12.0;76.5;.293;CHI
13;13;17/11/2023;;ORL;L;97;103;101.0;107.3;96.0;.278;.367;.547;42.5;54.3;10.4;6.7;;.506;15.3;12.2;.215;;.551;16.0;74.4;.203;CHI
14;14;18/11/2023;;MIA;W;102;97;111.2;105.8;91.7;.235;.556;.571;56.4;66.7;9.8;14.6;;.543;11.8;25.6;.173;;.506;14.7;87.2;.247;CHI
15;15;20/11/2023;;MIA;L;100;118;111.3;131.3;89.9;.198;.457;.568;45.6;56.8;2.2;14.3;;.525;11.1;17.1;.185;;.601;7.9;76.3;.202;CHI
16;16;22/11/2023;@;OKC;L;102;116;112.6;128.1;90.6;.193;.500;.534;45.8;64.7;7.7;4.3;;.483;9.5;24.4;.193;;.567;11.6;71.1;.413;CHI
17;17;24/11/2023;@;TOR;L;108;121;116.5;130.5;92.7;.232;.329;.598;48.1;47.6;5.4;4.5;;.585;11.7;25.0;.146;;.608;12.9;68.3;.241;CHI
1;1;25/10/2023;@;MIA;L;102;103;108.9;110.0;93.7;.163;.348;.517;53.8;68.3;3.2;18.6;;.505;14.0;34.7;.098;;.446;6.3;70.9;.228;DET
